R	53.334	-6.37868	D419	14 Oct 2020	D419\n19:11 - Grand Canal Dock to Hazelhatch (1 mins late)\nArrived Park West and Cherry Orchard next stop Clondalkin	Southbound
R	53.334	-6.37868	P218	14 Oct 2020	P218\n18:30 - Portlaoise to Dublin Heuston (5 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.334	-6.37868	P419	14 Oct 2020	P419\n19:32 - Hazelhatch to Grand Canal Dock (-1 mins late)\nArrived Park West and Cherry Orchard next stop Drumcondra	Northbound
R	53.3345	-6.43038	A717	14 Oct 2020	A717\n17:20 - Galway to Dublin Heuston (3 mins late)\nDeparted Kishogue next stop Dublin Heuston	To Dublin Heuston
R	53.3353	-6.45233	A718	14 Oct 2020	A718\n19:35 - Dublin Heuston to Galway (1 mins late)\nDeparted Adamstown next stop Portarlington	To Galway
R	53.3397	-6.23773	E840	14 Oct 2020	E840\n19:05 - Bray to Malahide (-1 mins late)\nArrived Grand Canal Dock next stop Dublin Pearse	Northbound
R	53.3433	-6.24829	E254	14 Oct 2020	E254\n19:10 - Malahide to Bray (3 mins late)\nDeparted Dublin Pearse next stop Grand Canal Dock	Southbound
R	53.3531	-6.24591	E940	14 Oct 2020	E940\n18:55 - Bray to Howth (0 mins late)\nDeparted Dublin Connolly next stop Clontarf Road	Northbound
R	53.3602	-7.79847	A716	14 Oct 2020	A716\n18:30 - Dublin Heuston to Galway (1 mins late)\nDeparted Clonydonnin next stop Athlone	To Galway
R	53.3629	-6.22753	E255	14 Oct 2020	E255\n19:20 - Howth to Bray (4 mins late)\nDeparted Clontarf Road next stop Dublin Connolly	Southbound
R	53.3704	-6.50598	D932	14 Oct 2020	D932\n19:00 - Dublin Pearse to Maynooth (7 mins late)\nDeparted Leixlip (Louisa Bridge) next stop Maynooth	Northbound
R	53.3704	-6.50598	P677	14 Oct 2020	P677\n19:40 - Maynooth to Dublin Pearse (-3 mins late)\nArrived Leixlip (Louisa Bridge) next stop Leixlip (Confey)	Southbound
R	53.373	-6.20442	P623	14 Oct 2020	P623\n18:50 - Drogheda to Dublin Pearse (4 mins late)\nDeparted Killester next stop Dublin Connolly	Southbound
R	53.3743	-6.48624	A914	14 Oct 2020	A914\n19:15 - Dublin Connolly to Sligo (4 mins late)\nArrived Leixlip (Confey) next stop Maynooth	Northbound
